プロジェクト名,期限,タスク内容,チェーン,重要度,ステータス,ソースURL,chains,ピン留め,sort_date,登録日時,is_completed,資金調達額,VC
Oro,未定,Solana dApp Storeから「Oro」アプリをインストールし、ウォレットを接続後、Seekerデバイスで接続する。ウォレットにUSDCを準備し、Oroトークンを購入する（現在、アプリでの購入時にエラーが発生する可能性あり）。Seekerデバイス上で売買やステーキングを行うことで、Oro S1期間中の報酬プールから追加特典（獲得倍率ブースト、Tierポイント）を獲得できる。,Solana,A,未完了,,,False,2099-12-31 00:00:00.000000000,2026-03-01T22:52:06.831784+00:00,False,不明,不明
Blackhaven $HVN ICO,2026/02/18 04:00,"・Sonarランチパッドでの事前登録（KYC完了必須）
・MegaETHのEchoユーザーは33%ブースト、Ethosユーザーは15-20%ブースト適応
・@blackhavenのTwitterフォロー",MegaETH L1,S,未完了,https://coinlaunch.space/events-rounds/blackhaven-ico-round/,,False,2262-04-11 23:47:16.854775807,2026-03-01T22:52:06.833297+00:00,False,不明,不明
Variational Omni ポイントプログラム,未定,"・Variational Omniでの永続取引
・高流動性アルトコイン（$HYPE, $SOL, $ETH, $ZEC）での取引
・オープンインターエスト（OI）の高い商品を優先
・リファラルプログラムの活用",未定,A,完了,https://x.com/linenmito/status/2022737371155063031,,False,2099-12-31 00:00:00.000000000,2026-03-01T22:52:06.835008+00:00,False,不明,不明
Micro.Fun エージェント経済テストネット,2026/02/23 23:59 UTC,"・DiscordでMicro Passを請求（限定5,000名）
・テストネット開始前の早期アクセス権獲得
・Baseネットワーク上での活動",Base,B,完了,https://x.com/microdotfun/status/2020839931183300614,,False,2262-04-11 23:47:16.854775807,2026-03-01T22:52:06.836971+00:00,False,不明,不明
Konnex World ロボティクステストネット,未定,"・RLHF（Reinforcement Learning from Human Feedback）提出
・Decentralizedロボティクスデータ収集への参加
・毎日のソーシャルチェックインとコンテンツ作成",Testnet,B,未完了,https://x.com/konnex_world/status/2021977601904959608,,False,2099-12-31 00:00:00.000000000,2026-03-01T22:52:06.838467+00:00,False,不明,不明
Polymarket ($POLY),未定,"['プラットフォームでの予測市場取引（政治、スポーツ、経済イベントなど）', 'USDC入金が必要', 'Twitterアカウントの連携推奨', '5分足暗号市場などで流動性提供や取引']",Polygon,A,完了,https://x.com/Polymarket,,False,2099-12-31 00:00:00.000000000,2026-03-01T22:52:06.839895+00:00,False,不明,不明
Vibe Trading ($VIBE),未定,"['ウェイトリストへの登録', '将来的なパーペチュアル取引所の利用やポイント獲得（公式サイトに""Vibe Points = $VIBE tokens at TGE""と記載）']",未定,B,未完了,https://x.com/vibe_trading,,False,2099-12-31 00:00:00.000000000,2026-03-01T22:52:06.841709+00:00,False,不明,不明
Fiamma,2026/02/27 23:59,"・['Galxeクエスト「Ride - Early Access Whitelist」へ参加（OATまたはポイント獲得）', 'メインネットでの活動（資金$15程度が必要）']
・Galxeクエストの完了、Rideアプリでのトレードによる「OG Role」獲得、早期アクセスウェイティングリストへの登録",不明（ソーシャルトレーディング）,B,完了,https://app.galxe.com/quest/HSNdxCoe9kM8RrcreQthJV/GC5GutYbLz,,False,2262-04-11 23:47:16.854775807,2026-03-01T22:52:06.843820+00:00,False,不明,不明
Spicenet (Elitra Devnet),2026/02/15 23:59,['Devnetは2月15日に終了済み。現在は参加不可。'],未定,C,完了,https://x.com/spicenet_io,,False,2262-04-11 23:47:16.854775807,2026-03-01T22:52:06.845046+00:00,False,不明,不明
Edgen,未定,Aura ポイントファーミング: 毎日のチェックイン、社会的クエスト、招待、コンテンツ作成,Unknown,S,未完了,https://x.com/EdgenTech/status/2001957914697953674?s=20,,False,2099-12-31 00:00:00.000000000,2026-03-01T22:52:06.846202+00:00,False,不明,不明
Fast Protocol,未定,Fast RPCを設定、Genesis SBTをミント、スワップを実行してFast Miles/Pointsを獲得,Ethereum,S,未完了,https://x.com/Fast_Protocol/status/2003470708379386317?s=20,,False,2099-12-31 00:00:00.000000000,2026-03-01T22:52:06.847310+00:00,False,不明,不明
Folks Mobile,未定,待機リストに参加、2026年の発売後にアプリ機能を利用,Multi-chain (TBC),S,未完了,https://x.com/FolksMobile/status/1998424457459953697?s=20,,False,2099-12-31 00:00:00.000000000,2026-03-01T22:52:06.848591+00:00,False,不明,不明
Variational,2026/06/30 23:59,"・テストネットに参加、取引タスクを完了してエアドロップ資格を得る
・プラットフォームでの継続的な取引活動による週次ポイント（XP）の獲得。ランキング上位を維持し、Q2のトークン配布に備える。",Multi-chain (TBC),S,完了,https://x.com/variational_io,,False,2262-04-11 23:47:16.854775807,2026-03-01T22:52:06.850266+00:00,False,不明,不明
Lora Finance,未定,lora.financeで待機リストに参加,MegaETH,S,未完了,https://x.com/LoraFinance/status/2008566896636162068?s=20,,False,2099-12-31 00:00:00.000000000,2026-03-01T22:52:06.851500+00:00,False,不明,不明
Fluent,未定,ネットワークをウォレットに追加、テストETHを取得、クイズを完了してNFTをミント、Discordに参加して役割を獲得、Printをミントして評判を構築,Ethereum L2,S,完了,https://x.com/fluentxyz/status/2011095452712649094?s=20,,False,2099-12-31 00:00:00.000000000,2026-03-01T22:52:06.852667+00:00,False,不明,不明
Dango,未定,メインネットアルファでのスポット取引、GalxeクエストでOATを取得、テストネット参加で資格,Dango L1,S,未完了,https://x.com/BankeraDao/status/2010320347338567683?s=20,,False,2099-12-31 00:00:00.000000000,2026-03-01T22:52:06.853852+00:00,False,不明,不明
Donut AI,未定,ベータテスター申請フォームを記入、Discord/Telegramに参加して更新とコミュニティエンゲージメント,Solana,S,未完了,https://x.com/DonutAI/status/2013875387353489551?s=20,,False,2099-12-31 00:00:00.000000000,2026-03-01T22:52:06.855061+00:00,False,不明,不明
Veera,未定,hub.veerarewards.comで報酬ハブに参加、社会的/エンゲージメントクエストを完了、XPポイントを獲得（$VEERAに変換）、TGE前にEVMウォレットをバインド,Multi-chain,S,未完了,https://x.com/On_Veera/status/2011081489296081013?s=20,,False,2099-12-31 00:00:00.000000000,2026-03-01T22:52:06.858032+00:00,False,不明,不明
Unhedged,2026/02/29 23:59,メインネットで取引（2026年2月頃発売）、時間加重報酬のための早期ポジションを取る、リーダーボード競争に参加,未定,S,完了,https://x.com/UnhedgedHQ/status/2014412879194419260?s=20,Canton,False,2262-04-11 23:47:16.854775807,2026-03-01T22:52:06.859442+00:00,False,不明,不明
Genius,未定,プラットフォームで取引してGenius Points (GP)を獲得、友達を紹介してUSDC/GP報酬、バッジを集めて乗数、取引競争に参加,未定,S,完了,https://x.com/yousukeakaban/status/2011213220804247658?s=20,Multi-chain,False,2099-12-31 00:00:00.000000000,2026-03-01T22:52:06.860719+00:00,False,不明,不明
Fhenix,未定,https://test.redact.money/にアクセス、ウォレットを接続、Sepolia ETH/USDCをフォーセットから取得、トークンを暗号化/復号（ETHをeETHなど）、https://shieldedmode.fhenix.io/で機密トークンをデプロイ,未定,S,未完了,https://x.com/asedd72/status/2014267534921347221?s=20,Ethereum L2,False,2099-12-31 00:00:00.000000000,2026-03-01T22:52:06.862912+00:00,False,不明,不明
Perle Labs,なし,"・app.perle.xyzに参加、データタスクを完了してポイントを獲得、Discordに参加して役割（Explorer/Navigator/Voyager）を得る、Galxeクエストに参加、報酬のためのSeason 1に参加
・Solanaウォレットを接続し、Xアカウント連携等の新しく公開された6つのタスクを完了させて「Perle Points」を蓄積する。",Solana,S,未完了,https://x.com/PerleLabs,Solana,False,2262-04-11 23:47:16.854775807,2026-03-01T22:52:06.865112+00:00,False,不明,不明
HelloTrade,未定,Waitlist登録、アプリ利用開始,未定,A,未完了,https://x.com/kiyo_crypt/status/1991506776026697973?s=20,MegaETH,False,2099-12-31 00:00:00.000000000,2026-03-01T22:52:06.867568+00:00,False,不明,不明
IOPn,未定,OPN Testnet探索 + トークン取引,未定,A,未完了,https://x.com/HottieBabeGem/status/1993365224448311518?s=20,OPN Testnet,False,2099-12-31 00:00:00.000000000,2026-03-01T22:52:06.870065+00:00,False,不明,不明
Omnera,未定,Xアカウント接続 + デイリーログイン,未定,A,完了,https://x.com/duta_crypto/status/1991446419043963002?s=20,Multi-chain,False,2099-12-31 00:00:00.000000000,2026-03-01T22:52:06.872350+00:00,False,不明,不明
WCM,未定,Waitlist登録（wcm.inc）、testnet参加,未定,B,未完了,https://x.com/wcm_inc,MegaETH,False,2099-12-31 00:00:00.000000000,2026-03-01T22:52:06.874540+00:00,False,不明,不明
Obex Incubator,未定,12週プログラム応募、USDSデポジット,未定,B,完了,https://x.com/obexincubator,Multi-chain,False,2099-12-31 00:00:00.000000000,2026-03-01T22:52:06.877231+00:00,False,不明,不明
Nous Research,未定,Discord Office Hours参加 + 計算資源提供,未定,B,完了,https://x.com/NousResearch/status/1993367621446910237?s=20,Multi-chain,False,2099-12-31 00:00:00.000000000,2026-03-01T22:52:06.879921+00:00,False,不明,不明
Tenbin Labs,未定,"['Tenbin Labsのウェイトリストにメールアドレスで参加する。', '参加用URL: https://tenbinlabs.xyz']
・['Tenbin Labsのウェイトリストにメールアドレスで参加する。', '参加用URL: https://tenbinlabs.xyz', '登録済みTwitterアカウント: @yamadatarou43', '資金調達: $4.5M (Polychain, Hack VC等)']
・プロジェクト名: MegaCorp Global / 内容: ・MegaETH上の「Cube」を破壊するゲームに参加し、ブロックを破壊してCUBEを獲得 ・賞金総額 1,000,000 (ファイナルブロー賞あり) ・公式サイト(megacorp.global)からApply / 登録済みTwitter: @yamadatarou43 / 資金調達: $20M (Dragonfly, Vitalik Buterin等)
・Tenbin Labsのウェイトリストにメールアドレスで参加する。参加用URL: https://tenbinlabs.xyz（登録済みTwitter: @yamadatarou43 / 資金調達: $4.5M Polychain等）",不明,B,完了,https://x.com/BankeraDao/status/2023238744027853144?s=20,,False,2099-12-31 00:00:00.000000000,2026-03-01T22:52:06.882198+00:00,False,不明,不明
MegaCorp Global,未定,"・MegaETH上の「Cube」を破壊するゲームに参加し、ブロックを破壊して $CUBE を獲得
・賞金総額 $1,000,000 (ファイナルブロー賞あり)
・公式サイト(megacorp.global)からApplyを行い参加申請する
・・ウェイトリスト登録済み（アカウント: @yamadatarou43）
・MegaETH上の「Cube」を破壊するゲームに参加し、ブロックを破壊して $CUBE を獲得
・賞金総額 $1,000,000 (ファイナルブロー賞あり)
・公式サイト(megacorp.global)からApplyを行い参加申請する",MegaETH,S,未完了,https://x.com/MegaCorpHQ/status/2023759348267446575,,False,2099-12-31 00:00:00.000000000,2026-03-01T22:52:06.884816+00:00,False,不明,不明
Dreamcash,未定,Hyperliquid向けモバイル取引アプリ。USDTを担保としたHIP-3「CASH」パーペチュアル市場（S&P 500、金・銀、TSLAなどのRWA）での取引。メールログインによるウォレット作成とセルフカストディ管理。Tetherからの戦略的出資を受けている。,Hyperliquid,A,未完了,https://x.com/kiyo_crypt/status/2023668745852588068?s=20,,False,2099-12-31 00:00:00.000000000,2026-03-01T22:52:06.887763+00:00,False,不明,不明
Arc Testnet Early Participation,2026/12/31 23:59,"Arc Testnet上のDApp（Meridian Finance, ArcTreasury等）を使用。",Arc Testnet,C,完了,https://x.com/VaultWatcher/status/2022240597621547219,,False,2262-04-11 23:47:16.854775807,2026-03-01T22:52:06.890469+00:00,False,不明,不明
HeadStarter Prism Market INO,2026/03/06 23:59,HederaネットワークでのINOに参加。ホワイトリスト取得が必要な可能性あり。,Hedera,B,完了,https://x.com/HeadStarter/status/2022254604071924181,,False,2262-04-11 23:47:16.854775807,2026-03-01T22:52:06.893548+00:00,False,不明,不明
